Feature,XGBoost,Random Forest,Extra Trees
age,0.042924188,0.08779613384237553,0.07685341552896276
sex,0.05482012,0.02553876290359019,0.037721527477150796
cp,0.20071405,0.13978116079463335,0.12165096659996809
trestbps,0.04254748,0.08839300395257547,0.07144841905592061
chol,0.034684863,0.08635029610949871,0.06570900691735099
fbs,0.03326843,0.008299719395494273,0.01843530199029761
restecg,0.041050173,0.027299061676844764,0.04304686630176433
thalach,0.036205582,0.10839307744130845,0.07640616946362307
exang,0.06218985,0.05289100802321412,0.08333553498385862
oldpeak,0.057904296,0.10352570041335961,0.06952655333919995
slope,0.07813258,0.0400072201477089,0.05538662400771585
ca,0.1107444,0.10052201346288166,0.10797877578431252
thal,0.204814,0.13120284183651493,0.1725008385498748
